x,y
91.1,0.137238
91.2,0.139704
91.3,0.142105
91.4,0.144441
91.5,0.14671
91.6,0.148913
91.7,0.151048
91.8,0.153115
91.9,0.155114
92,0.157043
92.1,0.158902
92.2,0.160691
92.3,0.16241
92.4,0.164057
92.5,0.165633
92.6,0.167137
92.7,0.168568
92.8,0.169927
92.9,0.171213
93,0.172426
93.1,0.173566
93.2,0.174632
93.3,0.175624
93.4,0.176543
93.5,0.177388
93.6,0.178158
93.7,0.178855
93.8,0.179478
93.9,0.180026
94,0.180501
94.1,0.180902
94.2,0.181228
94.3,0.181482
94.4,0.181661
94.5,0.181768
94.6,0.181801
94.7,0.181761
94.8,0.181649
94.9,0.181465
95,0.181209
95.1,0.180881
95.2,0.180482
95.3,0.180012
95.4,0.179472
95.5,0.178862
95.6,0.178183
95.7,0.177435
95.8,0.176618
95.9,0.175734
96,0.174783
96.1,0.173765
96.2,0.172682
96.3,0.171533
96.4,0.17032
96.5,0.169043
96.6,0.167703
96.7,0.166301
96.8,0.164837
96.9,0.163313
97,0.161728
97.1,0.160085
97.2,0.158384
97.3,0.156625
97.4,0.15481
97.5,0.15294
97.6,0.151015
97.7,0.149037
97.8,0.147007
97.9,0.144924
98,0.142792
98.1,0.14061
98.2,0.138379
98.3,0.136102
98.4,0.133778
98.5,0.131408
98.6,0.128995
98.7,0.126539
98.8,0.124041
98.9,0.121503
99,0.118925
99.1,0.116308
99.2,0.113655
99.3,0.110966
99.4,0.108242
99.5,0.105484
99.6,0.102695
99.7,0.0998739
99.8,0.0970233
99.9,0.0941442
100,0.0912378
100.1,0.0883053
100.2,0.0853481
100.3,0.0823674
100.4,0.0793645
100.5,0.0763407
100.6,0.0732972
100.7,0.0702353
100.8,0.0671564
100.9,0.0640617
101,0.0609525
101.1,0.0578301
101.2,0.0546958
101.3,0.051551
101.4,0.0483968
101.5,0.0452346
101.6,0.0420657
101.7,0.0388914
101.8,0.035713
101.9,0.0325317
102,0.0293489
102.1,0.0261658
102.2,0.0229837
102.3,0.0198038
102.4,0.0166275
102.5,0.0134559
102.6,0.0102904
102.7,0.0071322
102.8,0.00398249
102.9,0.000842515
103,-0.00228649
103.1,-0.00540331
103.2,-0.00850676
103.3,-0.0115956
103.4,-0.0146687
103.5,-0.0177249
103.6,-0.020763
103.7,-0.0237818
103.8,-0.0267803
103.9,-0.0297573
104,-0.0327116
104.1,-0.0356422
104.2,-0.038548
104.3,-0.041428
104.4,-0.0442809
104.5,-0.047106
104.6,-0.0499019
104.7,-0.0526679
104.8,-0.0554029
104.9,-0.0581058
105,-0.0607758
105.1,-0.0634118
105.2,-0.066013
105.3,-0.0685784
105.4,-0.0711072
105.5,-0.0735984
105.6,-0.0760512
105.7,-0.0784647
105.8,-0.0808382
105.9,-0.0831708
106,-0.0854617
106.1,-0.0877102
106.2,-0.0899155
106.3,-0.0920769
106.4,-0.0941937
106.5,-0.0962652
106.6,-0.0982908
106.7,-0.10027
106.8,-0.102201
106.9,-0.104085
107,-0.105921
107.1,-0.107707
107.2,-0.109444
107.3,-0.111131
107.4,-0.112767
107.5,-0.114353
107.6,-0.115887
107.7,-0.117369
107.8,-0.118799
107.9,-0.120176
108,-0.1215
108.1,-0.122771
108.2,-0.123988
108.3,-0.125151
108.4,-0.12626
108.5,-0.127314
108.6,-0.128314
108.7,-0.129258
108.8,-0.130148
108.9,-0.130982
109,-0.131761
109.1,-0.132484
109.2,-0.133152
109.3,-0.133764
109.4,-0.134321
109.5,-0.134822
109.6,-0.135267
109.7,-0.135656
109.8,-0.135989
109.9,-0.136267
110,-0.13649
110.1,-0.136657
110.2,-0.136769
110.3,-0.136826
110.4,-0.136827
110.5,-0.136774
